package,hexlink,hexfile
GPAbin,https://github.com/jnienk/GPAbin/blob/main/man/figures/logo.png,hex_images/GPAbin.png
biplotEZ,https://github.com/MuViSU/biplotEZ/blob/main/man/figures/logo.png,hex_images/biplotEZ.png
moveEZ,https://github.com/MuViSU/moveEZ/blob/main/man/figures/logo.png,hex_images/moveEZ.png
